CopyId,Category,SubType,Text
BOOT_01,Boot,Status,"Booting workspace services..."
BOOT_02,Boot,Status,"Syncing local environment..."
BOOT_03,Boot,Status,"Connecting team channel..."
BOOT_04,Boot,Status,"Loading daily schedule..."
BOOT_05,Boot,Confirm,"AUTH OK"
BOOT_06,Boot,Confirm,"TEAM CHANNEL OK"
BOOT_07,Boot,Confirm,"LOCAL CACHE OK"
BOOT_08,Boot,Confirm,"SUPERVISOR LINK STABLE"
INTERACT_01,Interaction,Computer,"[E] Use Computer"
INTERACT_02,Interaction,AC,"[E] Adjust Air Conditioner"
INTERACT_05,Interaction,LeaveDesktop,"[Esc] Leave Desktop"
OBJECTIVE_01,Objective,Start,"Start the workday."
OBJECTIVE_02,Objective,Chat,"Check the team chat."
OBJECTIVE_03,Objective,Handle,"Something feels wrong. Handle it yourself."
OBJECTIVE_04,Objective,Return,"Return to the computer."
SYS_01,System,Message,"New message received."
SYS_02,System,Task,"Daily task updated."
SYS_03,System,Anomaly,"Environment anomaly detected."
SYS_04,System,HiddenUnlock,"Hidden option unlocked."
SYS_05,System,ReportReady,"Report ready to submit."
SYS_06,System,Delay,"System response delayed."
FREEZE_01,Anomaly,Title,"温度异常"
FREEZE_02,Anomaly,Body,"空调温度骤降至 16.4°C。"
FREEZE_03,Anomaly,Body,"鼠标操作出现迟滞。"
FREEZE_04,Anomaly,Body,"你要怎么处理？"
FREEZE_05,Anomaly,BtnReport,"Report Supervisor"
FREEZE_06,Anomaly,BtnHandle,"Handle Myself"
FREEZE_07,Anomaly,System,"Environment anomaly resolved."
FREEZE_08,Anomaly,System,"Leave the desk and inspect the source."
FREEZE_09,Anomaly,System,"The room feels colder than before."
FREEZE_10,Anomaly,System,"Temperature stabilizing..."
FREEZE_11,Anomaly,System,"A new reply is waiting in chat."
HIDDEN_LABEL_A_01,HiddenOption,A,"关于那个空调……"
